,tier,leaguePoints,summonerId,summonerName,account_id
90,CHALLENGER,857,guF_oyxtF9lLC7rxNxPy59PJXLxb0ISQwjz1vBxci3EYRA,마지막1년,PHqHBJ7lqied2qZ6RnzjsAbKxaeM3cAZiuDp3rin7HNz
91,CHALLENGER,843,zMo77KDAtUwhn2uQ37_1u2y64sr7marQZ3GERPBerTym3c0,가슴뛰는일,bIAwPF1fSOYN_wxM45ZmNzLfTFHds72Yn-W4bo8-3Bj9SD4
92,CHALLENGER,861,6NuOE1Zyb3dDaDu4FRQGHb20KSEynfP10Vs5pU_xtZaMBw,돌낳는남자,WvJOe3HOiCID28tx330znfzqWiDBgDTERFHer--4Fd4
93,CHALLENGER,1335,m_sDaf1V7xJLjXr7zKVEhxZkhns8jPjSSmdwuIMkeBEKQfw,K T,244GDMnQentsZLDxCee9kQDc4sJ2_XIJdmqE3Pd9ptbYFsHAIVUGeFlo
94,CHALLENGER,1019,sB-lYlK1HjdAEmL1m9zY0f7MpxSD9JRk0bbuMP3Nek7RJg,탑 혜지,J3zwetOK1heNZksr3DBi50UVWTzKPrf8Op3sR6-respG
95,CHALLENGER,877,m1Srgb4YqUs2Pqm2yXusaZiH_8q_4FYT1QBys_oH4y9zMg,AF LaCo,xlzicpe9y2NBmL-nTkhPvczvZIHL9JnIlb4h7SeIQRNt
96,CHALLENGER,1555,3lUn0F84FZJpsatgSFUJ_nwTM5h16N4NnVtaXJgsORRo9l8,HLE Viper,PJK81VciokZJvjWbeIBiJ_vUS4gFTn90hCHrSA5r1eL4qsc
97,CHALLENGER,1003,CezYXQ5BI3eUkQSVvnEILsSLz08BCi_uDeDguz1qJToKXvQ,피즈 조이,ElA4yQXeY5LvYtwrmeQ3SqN2KPMbKm47ASy9mnRIlHExY7XYmgnGyjH2
98,CHALLENGER,934,i2Wdv2vYVI-LsA7QwuE0yE9i8oq351nA2_D9cKRH-3XsDp8,ThallahT,_mGI5J0ltnxnflyijbLWuzH6awxr8LdU3wN_C6aByYzK40Q
99,CHALLENGER,892,2aZimW4ZywxTz_XdeKr2nRIl4Q5DmUH0A7KVVYsEWh9L5Bc,T1 Gumayusi,LlJ_dOmjKIwSPhucihkgEne2q43w1DxFFI-1N6fUMjeT2Dw
100,CHALLENGER,1091,GpbgHvXHm_ipUf2C04ftVDb_yASiJg5jgqpK0HJAkf18pto,Starryovo,86sIgBVAoDn47kw5LowyuACBeFgpDrz3hyEFsoA0yjFqenp6TLO6eYZr
101,CHALLENGER,856,yj7LY5M3oY-IR_Zau_sBJmrN6h4bym1Mg_tPyT6hfBUNAes,교육잘받은도구,6JD4DWiw7EXU3xLCPVL86vrE-h70bFYidpLtIsh542hiqtQ
